Water Body,Sample Date,Chl_a,DIN,DKN,NH3N,NH4N,NOxN,NO2N,NO3N,PN,PON,TDN,TKN,TN,TON,DON,DIP,DRP,TDP,TIP,TP,TRP,TPP,BOD,COD,O2_Dis,PV,TDS,TS,TSS,FDS,FS,VDS,VS,TRANS,TURB,TEMP,pH
LAGO MAZAIS BALTEZERS,2010-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5,,,,,,,26.2,9.14
LAGO MAZAIS BALTEZERS,2010-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2,,,,,,,21.4,7.98
LAGO MAZAIS BALTEZERS,2010-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,,,,,,,13.9,8.11
LAGO MAZAIS BALTEZERS,2010-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,5.5,8.2
LAGO MAZAIS BALTEZERS,2012-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,,,,,,,18.5,8.94
LAGO MAZAIS BALTEZERS,2012-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,18.7,8.6
LAGO MAZAIS BALTEZERS,2012-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,,,,,,,15.7,8.49
LAGO MAZAIS BALTEZERS,2014-02-27,,,,,0.08,,0.016,1.771,,,,,1.21,,,0.025,,0.117,,,,,3.88,,11.2,,,,6.5,,,,,,,0.8,7.97
LAGO MAZAIS BALTEZERS,2014-03-20,,,,,0.07,,0.01,0.974,,,,,1.3,,,0.049,,0.063,,,,,1.28,,12.6,,,,2.8,,,,,1.6,,2.6,8.23
LAGO MAZAIS BALTEZERS,2014-04-24,0.016800000000000002,,,,,,0.016,1.151,,,,,1.09,,,,,0.041,,,,,2.14,,11.1,,,,3.6,,,,,1.75,,12.0,8.37
LAGO MAZAIS BALTEZERS,2014-05-22,0.0052,,,,0.1,,0.02,,,,,,1.08,,,0.012,,0.07,,,,,2.16,,12.4,,,,3.9,,,,,1.5,,19.6,8.51
LAGO MAZAIS BALTEZERS,2014-06-05,0.0086,,,,0.06,,0.008,0.354,,,,,0.66,,,0.015,,0.047,,,,,1.65,,10.2,,,,3.0,,,,,1.9,,19.0,8.27
LAGO MAZAIS BALTEZERS,2014-07-09,0.0053,,,,,,0.003,,,,,,0.63,,,,,0.044,,,,,2.02,,12.4,,,,,,,,,2.2,,23.6,8.74
LAGO MAZAIS BALTEZERS,2014-08-11,0.0169,,,,0.12,,0.007,,,,,,0.95,,,0.046,,0.11,,,,,3.67,,7.5,,,,6.7,,,,,1.5,,23.9,8.72
LAGO MAZAIS BALTEZERS,2014-09-25,0.0058,,,,0.17,,0.013,,,,,,0.91,,,0.288,,0.139,,,,,1.5,,6.7,,,,3.7,,,,,2.1,,14.2,7.89
LAGO MAZAIS BALTEZERS,2014-10-29,,,,,0.34,,0.053,0.969,,,,,1.38,,,0.172,,0.096,,,,,,,10.4,,,,,,,,,2.1,,5.4,8.07
LAGO MAZAIS BALTEZERS,2014-11-25,,,,,0.23,,0.118,1.253,,,,,1.35,,,0.15,,0.08,,,,,0.95,,11.1,,,,2.1,,,,,,,3.0,8.13
LAGO MAZAIS BALTEZERS,2014-12-17,,,,,0.1,,0.023,2.979,,,,,1.45,,,0.138,,0.078,,,,,,,10.7,,,,,,,,,2.4,,1.3,7.9
LAGO MAZAIS BALTEZERS,2015-01-22,,,,,0.063,,0.0229915,7.477203,,,,,2.29,,,0.061324,,0.057,,,,,1.1,,11.4,,,,3.4,,,,,,,0.6,7.86
LAGO MAZAIS BALTEZERS,2015-02-24,,,,,,,0.019707,5.26813,,,,,1.65,,,0.061324,,0.111,,,,,1.98,,9.9,,,,3.7,,,,,,,1.5,8.03
LAGO MAZAIS BALTEZERS,2015-03-23,,,,,,,0.013138,3.32025,,,,,1.33,,,0.0705226,,0.054,,,,,1.25,,9.4,,,,,,,,,1.8,,3.5,7.65
LAGO MAZAIS BALTEZERS,2015-04-14,,,,,,,0.013138,3.23171,,,,,1.28,,,0.0429268,,0.049,,,,,1.33,,11.5,,,,,,,,,1.6,,6.4,8.45
LAGO MAZAIS BALTEZERS,2015-05-26,0.0112,,,,,,0.019707,1.363516,,,,,0.85,,,,,0.034,,,,,2.23,,10.3,,,,2.7,,,,,1.8,,14.9,8.52
LAGO MAZAIS BALTEZERS,2015-06-10,,,,,,,0.019707,0.75259,,,,,0.83,,,,,0.045,,,,,1.83,,11.0,,,,,,,,,1.8,,18.0,8.46
LAGO MAZAIS BALTEZERS,2015-07-23,0.021,,,,,,0.0019707,,,,,,0.75,,,0.0521254,,0.076,,,,,2.04,,8.7,,,,,,,,,2.2,,20.0,8.12
LAGO MAZAIS BALTEZERS,2015-08-20,,,,,,,0.00295605,,,,,,0.86,,,,,0.116,,,,,7.9,,15.2,,,,10.7,,,,,0.75,,22.5,8.95
LAGO MAZAIS BALTEZERS,2015-09-23,0.0099,,,,,,0.013138,,,,,,0.84,,,0.1594424,,0.097,,,,,1.3,,8.8,,,,,,,,,1.9,,16.2,8.21
