Water Body,Sample Date,Chl_a,DIN,DKN,NH3N,NH4N,NOxN,NO2N,NO3N,PN,PON,TDN,TKN,TN,TON,DON,DIP,DRP,TDP,TIP,TP,TRP,TPP,BOD,COD,O2_Dis,PV,TDS,TS,TSS,FDS,FS,VDS,VS,TRANS,TURB,TEMP,pH
LAGO KASUMIGAURA,1977-05-17,0.026,,,0.02,,0.265,,,,,,,,,,,0.025,,,0.053,,,,4.6,,,,,8.2,,,,,0.55,,19.2,
LAGO KASUMIGAURA,1977-06-29,0.043,,,0.001,,0.014,,,,,,,,,,,0.013,,,0.066,,,,6.7,8.4,,,,10.9,,,,,1.1,,22.2,
LAGO KASUMIGAURA,1977-07-25,0.086,,,0.02,,0.182,,,,,,,,,,,0.017,,,0.127,,,,9.9,9.5,,,,14.7,,,,,1.0,,27.9,
LAGO KASUMIGAURA,1977-08-25,0.103,,,,,,,,,,,,,,,,,,,,,,,,9.3,,,,33.7,,,,,0.8,,22.1,
LAGO KASUMIGAURA,1977-09-06,0.124,,,0.023,,0.012,,,,,,,,,,,0.004,,,0.108,,,,13.4,9.3,,,,29.9,,,,,0.45,,26.5,
LAGO KASUMIGAURA,1977-10-05,0.109,,,0.02,,0.213,,,,,,,,,,,0.003,,,0.091,,,,7.4,10.1,,,,33.0,,,,,0.6,,21.4,
LAGO KASUMIGAURA,1977-11-07,0.062,,,0.02,,,,,,,,,,,,,0.001,,,0.078,,,,5.5,8.9,,,,14.0,,,,,1.0,,17.4,
LAGO KASUMIGAURA,1977-12-06,0.093,,,0.07,,0.004,,,,,,,,,,,0.001,,,0.095,,,,6.5,10.2,,,,16.0,,,,,0.9,,10.6,
LAGO KASUMIGAURA,1978-01-20,0.024,,,0.015,,0.159,,,,,,,,,,,0.001,,,0.048,,,,4.1,9.0,,,,6.5,,,,,1.7,,4.9,
LAGO KASUMIGAURA,1978-02-07,0.034,,,0.073,,0.233,,,,,,,,,,,0.001,,,0.055,,,,6.1,17.3,,,,8.9,,,,,1.15,,2.9,
LAGO KASUMIGAURA,1978-03-07,0.054,,,0.029,,0.063,,,,,,,,,,,0.001,,,0.073,,,,3.4,10.3,,,,12.2,,,,,1.1,,7.0,
LAGO KASUMIGAURA,1978-04-13,0.104,,,0.051,,0.339,,,,,,,,,,,0.005,,,0.086,,,,,12.2,,,,14.6,,,,,0.9,,11.8,
LAGO KASUMIGAURA,1978-05-16,,,,0.076,,0.223,,,,,,,,,,,0.005,,,0.007,,,,,,,,,13.5,,,,,0.85,,20.6,
LAGO KASUMIGAURA,1978-06-07,0.111,,,0.015,,0.026,,,,,,,,,,,0.007,,,0.079,,,,,,,,,9.4,,,,,0.9,,22.5,
LAGO KASUMIGAURA,1978-07-20,0.104,,,0.016,,0.001,,,,,,,,,,,0.004,,,0.101,,,,,10.6,,,,23.9,,,,,0.6,,29.2,
LAGO KASUMIGAURA,1978-08-16,0.117,,,0.167,,0.002,,,,,,,,,,,0.184,,,0.374,,,,,11.9,,,,38.8,,,,,0.4,,30.3,
LAGO KASUMIGAURA,1978-09-13,0.093,,,0.268,,0.124,,,,,,,,,,,0.088,,,0.262,,,,,8.2,,,,42.0,,,,,0.4,,22.6,
LAGO KASUMIGAURA,1978-10-18,0.118,,,0.059,,0.018,,,,,,,,,,,0.003,,,0.155,,,,,9.8,,,,26.7,,,,,0.5,,18.8,
