Water Body,Sample Date,Chl_a,DIN,DKN,NH3N,NH4N,NOxN,NO2N,NO3N,PN,PON,TDN,TKN,TN,TON,DON,DIP,DRP,TDP,TIP,TP,TRP,TPP,BOD,COD,O2_Dis,PV,TDS,TS,TSS,FDS,FS,VDS,VS,TRANS,TURB,TEMP,pH
LAGO ESTERO DE MEZCALA,2012-11-11,0.001,,,0.0719,,,0.056,1.0168,,,,0.0919,1.1647,0.02,,,,,,0.1331,0.1156,,,,5.33,,326.4,,8.0,,,,,,3.1,27.1,7.45
LAGO ESTERO DE MEZCALA,2013-01-06,0.0143,,,0.2722,,,0.0142,0.2562,,,,0.2739,0.5443,0.0017,,,,,,0.1691,0.0726,,,,7.12,,,,,,,,,,1.5,26.63,8.12
LAGO ESTERO DE MEZCALA,2013-03-05,0.0731,,,0.0234,,,0.0063,0.0966,,,,0.1263,0.2292,0.1029,,,,,,0.184,0.0611,,,,3.72,,,,6.75,,,,,,3.0,26.7,7.64
LAGO ESTERO DE MEZCALA,2013-05-29,0.0487,,,,,,0.0027,0.0221,,,,,,0.0248,,,,,,0.1413,0.0826,,,,3.49,,485.12,,,,,,,,1.6,30.59,7.02
LAGO ESTERO DE MEZCALA,2013-07-31,0.0207,,,0.0363,,,0.003,0.0188,,,,0.0581,0.0799,0.0218,,,,,,0.1929,0.1193,,,,3.34,,560.0,,,,,,,,3.5,28.4,7.67
LAGO ESTERO DE MEZCALA,2013-09-12,0.0223,,,0.3804,,,0.0101,0.0159,,,,0.4064,0.4324,0.026,,,,,,0.3072,0.1638,,,,4.23,,494.72,,7.0,,,,,,3.7,27.4,7.47
LAGO ESTERO DE MEZCALA,2014-03-13,0.0222,,,0.076,,,0.011,0.263,,,,0.395,0.669,0.319,,,,,,0.182,0.138,,,,4.92,,519.04,,,,,,,1.1,3.0,25.79,7.23
LAGO ESTERO DE MEZCALA,2014-05-04,0.0192,,,0.167,,,0.002,0.02,,,,0.321,0.343,0.154,,,,,,0.124,0.055,,,,5.8,,627.2,,,,,,,0.7,1.1,29.8,7.8
LAGO ESTERO DE MEZCALA,2014-06-18,0.0333,,,0.085,,,0.001,0.013,,,,0.477,0.491,0.392,,,,,,0.183,0.087,,,,1.7,,769.28,,10.0,,,,,0.7,4.3,28.7,7.4
LAGO ESTERO DE MEZCALA,2014-10-15,,,,0.086,,,0.031,0.857,,,,0.639,1.527,0.553,,,,,,0.09,0.041,,,,6.97,,838.4,,6.0,,,,,1.0,5.7,28.9,7.33
LAGO ESTERO DE MEZCALA,2015-03-18,,,,0.318478,,,0.0476,1.1121,,,,0.666269,1.825969,0.347791,,,,,,0.42193,0.3995,,,,1.28,,387.2,,12.0,,,,,0.6,13.0,24.2,7.3
LAGO ESTERO DE MEZCALA,2015-05-13,0.0284,,,0.086227,,,0.010336,0.478821,,,,0.4213,0.910457,0.335073,,,,,,0.1146,0.0796,,,,2.74,,720.64,,,,,,,1.2,2.1,27.6,7.0
LAGO ESTERO DE MEZCALA,2015-06-25,0.0691,,,,,,0.018588,0.141812,,,,,,0.684623,,,,,,0.217513,0.0904,,,,7.63,,723.84,,8.67,,,,,1.1,3.2,31.2,8.2
