Water Body,Sample Date,Chl_a,DIN,DKN,NH3N,NH4N,NOxN,NO2N,NO3N,PN,PON,TDN,TKN,TN,TON,DON,DIP,DRP,TDP,TIP,TP,TRP,TPP,BOD,COD,O2_Dis,PV,TDS,TS,TSS,FDS,FS,VDS,VS,TRANS,TURB,TEMP,pH
LAGO MJOSA,1981-08-12,,,,0.018,,0.2,,,,,,,,,,,,,,0.002,,,,,10.6,9.8,,,,,,,,,,18.0,7.9
LAGO MJOSA,1981-11-18,,,,,,0.42,,,,,,,,,,,,,,0.001,,,,,12.0,9.3,,,,,,,,,,4.4,7.4
LAGO MJOSA,1982-02-17,,,,,,0.44,,,,,,,,,,,,,,0.003,,,,,13.4,13.4,,,,,,,,,,0.2,7.2
LAGO MJOSA,1982-06-07,,,,0.014,,0.32,,,,,,,,,,,,,,0.002,,,,,11.8,14.2,,,,,,,,,,13.0,7.4
LAGO MJOSA,1982-08-17,,,,,,0.28,,,,,,,,,,,,,,0.001,,,,,10.0,10.3,,,,,,,,,,13.8,6.8
LAGO MJOSA,1982-12-07,,,,,,0.4,,,,,,,,,,,,,,0.001,,,,,12.0,7.9,,,,,,,,,,3.5,7.1
LAGO MJOSA,1983-05-10,,,,0.015,,0.42,,,,,,,,,,,,,,0.002,,,,,12.2,9.5,,,,,,,,,,3.5,6.9
LAGO MJOSA,1983-08-02,,,,,,0.42,,,,,,,,,,,,,,0.001,,,,,11.6,10.0,,,,,,,,,,6.5,7.3
LAGO MJOSA,1984-05-14,,,,0.011,,0.4,,,,,,,,,,,,,,0.001,,,,,12.9,,,,,,,,,,,5.5,6.9
LAGO MJOSA,1984-10-16,,,,0.01,,0.3,,,,,,,,,,,,,,0.003,,,,,11.3,,,,,,,,,,,8.0,7.0
LAGO MJOSA,1980-05-13,,,,,,,,0.069,,,,,0.51,,,,,,,0.0075,,,,,,10.73,,,,,,,,,,3.6,6.81
LAGO MJOSA,1980-05-27,,,,,,,,0.07,,,,,0.57,,,,,,,0.0095,,,,,,,,,,,,,,,,4.5,6.95
LAGO MJOSA,1980-06-09,,,,,,,,0.072,,,,,0.492,,,,,,,0.0075,,,,,,,,,,,,,,,,8.45,6.94
LAGO MJOSA,1980-06-23,,,,,,,,0.071,,,,,0.57,,,,,,,0.0095,,,,,,,,,,,,,,,,10.45,6.7
LAGO MJOSA,1980-07-07,,,,,,,,0.074,,,,,0.345,,,,,,,0.0065,,,,,,8.1,,,,,,,,,,15.85,7.52
LAGO MJOSA,1980-07-21,,,,,,,,0.066,,,,,0.417,,,,,,,0.009,,,,,,,,,,,,,,,,16.4,6.97
LAGO MJOSA,1980-08-06,,,,,,,,0.06,,,,,0.335,,,,,,,0.011,,,,,,,,,,,,,,,,14.45,6.91
LAGO MJOSA,1980-08-21,,,,,,,,0.049,,,,,0.342,,,,,,,0.01,,,,,,,,,,,,,,,,13.8,7.12
LAGO MJOSA,1980-09-03,,,,,,,,0.061,,,,,0.4,,,,,,,0.01,,,,,,,,,,,,,,,,12.95,7.18
LAGO MJOSA,1980-09-16,,,,,,,,0.047,,,,,0.287,,,,,,,0.009,,,,,,,,,,,,,,,,11.9,7.07
